Country,Birth Rate,Business Tax Rate,CO2 Emissions,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound,GDP/Capita,Energy Usage/Capita,CO2 Emissions/Capita,Life Expectancy Combined,Tourism Status,lables_1
"Congo, Rep.",0.035076923076923075,58.42307692307692,42029.46153846154,46.92307692307692,19443.46153846154,33573002606.692307,0.04915384615384615,105.84615384615384,332.7692307692308,0.05553846153846154,0.07692307692307693,0.22413076923076922,60.46153846153846,57.38461538461539,0.38461538461538464,0.393,0.5688461538461539,0.03807692307692308,16455345.692307692,0.38253846153846155,1291338461.5384614,847692307.6923077,2040.0557265191683,0.0008971987802450403,0.0019152160221742023,58.92307692307692,Inbound,1
Costa Rica,0.027999999999999997,52.362500000000004,494703.9166666667,42.641666666666666,201890.41666666666,1180771273154.0,0.06125,700.5833333333334,357.6166666666666,0.03675,0.09166666666666667,0.16038333333333332,68.66666666666667,64.58333333333333,0.39999999999999997,0.35308333333333336,0.5919166666666666,0.05516666666666667,35892530.666666664,0.4835833333333333,11612750000.0,9051091666.666666,5944.62641045119,0.0014815957775852894,0.0029246621864057834,66.625,Inbound,2
Cote d'Ivoire,0.03123076923076923,44.823076923076925,655026.8615384615,48.92307692307692,226702.23076923078,661331947601.0769,0.05171538461538461,88.54615384615384,357.53846153846155,0.058923076923076925,0.1,0.5262307692307692,58.92307692307692,56.53846153846154,0.3230769230769231,0.3763846153846154,0.5818461538461539,0.041692307692307695,135377671.92307693,0.35400000000000004,4800969230.769231,8969007692.307692,2066.6072645362947,0.0009055238432762953,0.0014193401853007817,57.73076923076923,Outbound,2
Croatia,0.012384615384615385,34.707692307692305,105649.13846153846,26.04615384615385,45869.99230769231,300207207271.2308,0.07322307692307692,1868.0846153846153,161.78461538461536,0.007551538461538462,0.49230769230769234,0.07939230769230769,79.46153846153847,74.23076923076923,0.8999999999999999,0.19449577015551112,0.6973881578716281,0.1081929950497839,11736352.615384616,0.693923076923077,6875184615.384615,8705923076.923077,33843.19302345427,0.04522979790541622,0.010993628481432753,76.84615384615384,Outbound,0
Cuba,0.0275,78.85833333333333,40532.4,47.25,20194.483333333334,78941612835.45833,0.057633333333333335,373.40000000000003,243.0,0.04133416666666666,0.10666666666666667,0.11940833333333332,68.5,63.083333333333336,0.36666666666666664,0.3560833333333333,0.5884166666666667,0.05541666666666667,22189051.25,0.5348333333333334,1263825000.0,800291666.6666666,4516.649708547943,0.0019317169633649145,0.0015189126294760343,65.79166666666667,Inbound,1
Curacao,0.02675,76.52833333333334,33600.88333333333,119.23333333333333,17805.8,48225625512.833336,0.054175,161.225,346.3833333333334,0.04056333333333332,0.125,0.19974166666666668,67.91666666666667,63.416666666666664,0.5,0.35915750200360747,0.5925910087218608,0.04850148927453179,18176188.5,0.6269166666666667,1218325000.0,633308333.3333334,6058.101431920706,0.01662067759716051,0.002362437523386554,65.66666666666667,Inbound,1
Cyprus,0.013769230769230768,40.75076923076923,286504.23076923075,21.484615384615385,112809.21538461538,409434599603.6923,0.06762307692307692,1357.3153846153846,223.13846153846154,0.009984615384615385,0.36153846153846153,0.09169999999999999,78.38461538461539,72.15384615384616,0.9230769230769231,0.21111115477089573,0.682311234794705,0.10657761043439927,30936343.076923076,0.6782307692307692,7991723076.923077,8201538461.538462,21721.44413446534,0.017285505387548805,0.010291119420658095,75.26923076923077,Outbound,0
Czech Republic,0.014008461538461537,41.809999999999995,104478.14615384614,35.107692307692304,42017.16923076923,197604321789.6154,0.06103846153846153,1726.8076923076924,325.3230769230769,0.010324615384615377,0.37461538461538463,0.10510769230769232,79.16153846153846,72.3,0.7692307692307693,0.2407180796973026,0.6580875505379612,0.10119436976473632,16593886.307692308,0.7524615384615385,8602492307.692308,4284284615.3846154,27426.782791505648,0.06261927576879787,0.009118325297619233,75.73076923076923,Inbound,0
Denmark,0.013615384615384614,34.46923076923077,106663.23076923077,18.076923076923077,53270.46153846154,395892253376.2308,0.08076923076923077,1833.2307692307693,187.6153846153846,0.006615384615384616,0.5230769230769231,0.07793846153846153,79.92307692307692,74.6923076923077,0.9846153846153847,0.1930769230769231,0.6827692307692309,0.12430769230769231,13940474.307692308,0.7482307692307693,9353538461.538462,10211384615.384615,23217.20839495354,0.004283625125728854,0.00819464291131541,77.3076923076923,Outbound,0
Djibouti,0.034692307692307696,57.28461538461538,4805.153846153846,40.15384615384615,13676.23076923077,12297959613.923077,0.07115384615384615,81.46153846153847,242.76923076923077,0.07146153846153847,0.08461538461538462,0.16065384615384615,59.0,56.53846153846154,0.2846153846153846,0.39576923076923076,0.561923076923077,0.04215384615384616,15892892.461538462,0.38430769230769235,490169230.7692308,217369230.76923078,1166.0105613058172,0.0014199874553395841,0.0004865066382227269,57.76923076923077,Inbound,1
